event,lifecycle:transition,org:resource,completeTime,Activity,Resource,org:group,case,case:variant,case:variant-index,case:creator
Completed-Closed,complete,Lars-Org line A2,2012-04-14 18:22:21+03:00,Completed-Closed,Lars,Org line A2,1-337229341,Variant 91,91,Fluxicon Disco
Accepted-In Progress,complete,Andre-Org line A2,2009-12-14 15:29:17+02:00,Accepted-In Progress,Andre,Org line A2,1-338946805,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Andre-Org line A2,2012-01-10 10:32:43+02:00,Accepted-In Progress,Andre,Org line A2,1-338946805,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Andre-Org line A2,2012-01-10 10:33:57+02:00,Completed-Closed,Andre,Org line A2,1-338946805,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Minnie-Org line A2,2009-12-16 13:59:24+02:00,Accepted-In Progress,Minnie,Org line A2,1-339798202,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Minnie-Org line A2,2012-03-15 13:21:25+02:00,Accepted-In Progress,Minnie,Org line A2,1-339798202,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Minnie-Org line A2,2012-03-15 13:21:47+02:00,Completed-Closed,Minnie,Org line A2,1-339798202,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Kenny-Org line A2,2009-12-16 21:47:26+02:00,Accepted-In Progress,Kenny,Org line A2,1-339889001,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Kenny-Org line A2,2012-03-14 14:04:51+02:00,Accepted-In Progress,Kenny,Org line A2,1-339889001,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Kenny-Org line A2,2012-03-14 14:07:29+02:00,Completed-Closed,Kenny,Org line A2,1-339889001,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Jüri-Org line A2,2009-12-22 10:09:31+02:00,Accepted-In Progress,Jüri,Org line A2,1-340984229,Variant 42,42,Fluxicon Disco
Unmatched-Unmatched,complete,Jüri-Org line A2,2009-12-22 10:25:22+02:00,Unmatched-Unmatched,Jüri,Org line A2,1-340984229,Variant 42,42,Fluxicon Disco
Completed-Closed,complete,Jüri-Org line A2,2012-02-01 13:38:06+02:00,Completed-Closed,Jüri,Org line A2,1-340984229,Variant 42,42,Fluxicon Disco
Accepted-Wait,complete,Jüri-Org line A2,2009-12-22 11:56:03+02:00,Accepted-Wait,Jüri,Org line A2,1-341002175,Variant 33,33,Fluxicon Disco
Accepted-In Progress,complete,Jüri-Org line A2,2012-02-01 13:39:50+02:00,Accepted-In Progress,Jüri,Org line A2,1-341002175,Variant 33,33,Fluxicon Disco
Completed-Closed,complete,Jüri-Org line A2,2012-02-01 13:40:25+02:00,Completed-Closed,Jüri,Org line A2,1-341002175,Variant 33,33,Fluxicon Disco
Accepted-In Progress,complete,Lena-Org line A2,2010-01-05 17:42:20+02:00,Accepted-In Progress,Lena,Org line A2,1-342442140,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Lena-Org line A2,2012-03-20 17:14:00+02:00,Completed-Closed,Lena,Org line A2,1-342442140,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2010-01-14 11:34:54+02:00,Accepted-In Progress,Tomas,Org line A2,1-345132462,Variant 92,92,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2010-01-27 11:43:29+02:00,Accepted-Wait,Tomas,Org line A2,1-345132462,Variant 92,92,Fluxicon Disco
Accepted-Assigned,complete,Tomas-Org line A2,2010-02-03 11:20:05+02:00,Accepted-Assigned,Tomas,Org line A2,1-345132462,Variant 92,92,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2010-02-22 09:33:08+02:00,Accepted-Wait,Tomas,Org line A2,1-345132462,Variant 92,92,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-02 01:17:47+03:00,Accepted-In Progress,Tomas,Org line A2,1-345132462,Variant 92,92,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-02-01 11:24:17+02:00,Accepted-In Progress,Carrie,Org line A2,1-345132462,Variant 92,92,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-02-01 11:24:59+02:00,Completed-Closed,Carrie,Org line A2,1-345132462,Variant 92,92,Fluxicon Disco
Accepted-In Progress,complete,Mats-Org line C,2010-01-14 16:02:21+02:00,Accepted-In Progress,Mats,Org line C,1-345255471,Variant 31,31,Fluxicon Disco
Queued-Awaiting Assignment,complete,Mats-Org line C,2010-01-15 16:10:22+02:00,Queued-Awaiting Assignment,Mats,Org line C,1-345255471,Variant 31,31,Fluxicon Disco
Queued-Awaiting Assignment,complete,Mats-Org line C,2011-09-23 16:06:05+03:00,Queued-Awaiting Assignment,Mats,Org line C,1-345255471,Variant 31,31,Fluxicon Disco
Accepted-In Progress,complete,Mats-Org line C,2012-02-08 09:11:21+02:00,Accepted-In Progress,Mats,Org line C,1-345255471,Variant 31,31,Fluxicon Disco
Completed-Closed,complete,Mats-Org line C,2012-02-08 09:14:29+02:00,Completed-Closed,Mats,Org line C,1-345255471,Variant 31,31,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line A2,2010-01-21 17:42:26+02:00,Accepted-In Progress,Daniel,Org line A2,1-347461373,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line A2,2012-04-11 17:38:17+03:00,Accepted-In Progress,Daniel,Org line A2,1-347461373,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Daniel-Org line A2,2012-04-11 17:39:02+03:00,Completed-Closed,Daniel,Org line A2,1-347461373,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Ann-Org line A2,2010-01-25 08:44:36+02:00,Accepted-In Progress,Ann,Org line A2,1-347924629,Variant 14,14,Fluxicon Disco
Accepted-Assigned,complete,Ann-Org line A2,2011-12-16 11:26:27+02:00,Accepted-Assigned,Ann,Org line A2,1-347924629,Variant 14,14,Fluxicon Disco
Accepted-Wait,complete,Ann-Org line A2,2012-03-30 14:09:18+03:00,Accepted-Wait,Ann,Org line A2,1-347924629,Variant 14,14,Fluxicon Disco
Completed-Closed,complete,Ann-Org line A2,2012-03-30 14:24:18+03:00,Completed-Closed,Ann,Org line A2,1-347924629,Variant 14,14,Fluxicon Disco
Accepted-In Progress,complete,Roger-Org line A2,2010-01-25 10:19:08+02:00,Accepted-In Progress,Roger,Org line A2,1-347923966,Variant 71,71,Fluxicon Disco
Accepted-Assigned,complete,Roger-Org line A2,2010-02-08 12:41:12+02:00,Accepted-Assigned,Roger,Org line A2,1-347923966,Variant 71,71,Fluxicon Disco
Accepted-In Progress,complete,Roger-Org line A2,2010-03-03 16:54:09+02:00,Accepted-In Progress,Roger,Org line A2,1-347923966,Variant 71,71,Fluxicon Disco
Accepted-Assigned,complete,Barbara-Org line A2,2010-03-03 16:54:25+02:00,Accepted-Assigned,Barbara,Org line A2,1-347923966,Variant 71,71,Fluxicon Disco
Accepted-In Progress,complete,Barbara-Org line A2,2012-03-28 15:39:46+03:00,Accepted-In Progress,Barbara,Org line A2,1-347923966,Variant 71,71,Fluxicon Disco
Completed-Closed,complete,Barbara-Org line A2,2012-03-28 15:39:49+03:00,Completed-Closed,Barbara,Org line A2,1-347923966,Variant 71,71,Fluxicon Disco
Accepted-In Progress,complete,Anders-Org line A2,2010-01-27 14:58:09+02:00,Accepted-In Progress,Anders,Org line A2,1-349857482,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Anders-Org line A2,2012-02-29 13:20:13+02:00,Completed-Closed,Anders,Org line A2,1-349857482,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line A2,2010-02-02 16:50:20+02:00,Accepted-In Progress,Daniel,Org line A2,1-351187625,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line A2,2012-04-11 17:39:33+03:00,Accepted-In Progress,Daniel,Org line A2,1-351187625,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Daniel-Org line A2,2012-04-11 17:40:09+03:00,Completed-Closed,Daniel,Org line A2,1-351187625,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line A2,2010-02-03 10:34:32+02:00,Accepted-In Progress,Ewa,Org line A2,1-351314317,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ewa-Org line A2,2010-02-03 10:45:18+02:00,Queued-Awaiting Assignment,Ewa,Org line A2,1-351314317,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line A2,2010-02-03 11:40:51+02:00,Accepted-In Progress,Ewa,Org line A2,1-351314317,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Ewa-Org line A2,2010-02-03 11:40:58+02:00,Accepted-Assigned,Ewa,Org line A2,1-351314317,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line A2,2011-12-20 23:25:19+02:00,Accepted-In Progress,Ewa,Org line A2,1-351314317,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line A2,2012-01-03 14:13:02+02:00,Completed-Closed,Ewa,Org line A2,1-351314317,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2010-02-05 11:00:12+02:00,Accepted-In Progress,Carrie,Org line A2,1-351869391,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-02-23 15:34:50+02:00,Accepted-In Progress,Carrie,Org line A2,1-351869391,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-02-23 15:37:00+02:00,Completed-Closed,Carrie,Org line A2,1-351869391,Variant 4,4,Fluxicon Disco
Queued-Awaiting Assignment,complete,Martin-Org line C,2010-02-12 15:00:54+02:00,Queued-Awaiting Assignment,Martin,Org line C,1-353818791,Variant 22,22,Fluxicon Disco
Accepted-In Progress,complete,Martin-Org line C,2010-02-12 15:01:08+02:00,Accepted-In Progress,Martin,Org line C,1-353818791,Variant 22,22,Fluxicon Disco
Queued-Awaiting Assignment,complete,Martin-Org line C,2010-10-28 20:15:39+03:00,Queued-Awaiting Assignment,Martin,Org line C,1-353818791,Variant 22,22,Fluxicon Disco
Accepted-In Progress,complete,Björn-Org line C,2010-10-29 18:11:03+03:00,Accepted-In Progress,Björn,Org line C,1-353818791,Variant 22,22,Fluxicon Disco
Completed-Closed,complete,Björn-Org line C,2012-04-04 16:41:41+03:00,Completed-Closed,Björn,Org line C,1-353818791,Variant 22,22,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-02-15 08:41:51+02:00,Accepted-In Progress,Carolyn,Org line G3,1-354039443,Variant 20,20,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-02-15 08:48:52+02:00,Accepted-In Progress,Carolyn,Org line G3,1-354039443,Variant 20,20,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-02-15 13:10:30+02:00,Accepted-Assigned,Carolyn,Org line G3,1-354039443,Variant 20,20,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2011-12-28 16:05:47+02:00,Accepted-In Progress,Ewa,Org line G3,1-354039443,Variant 20,20,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 13:29:51+02:00,Completed-Closed,Ewa,Org line G3,1-354039443,Variant 20,20,Fluxicon Disco
Accepted-In Progress,complete,Roger-Org line F,2010-02-15 10:33:11+02:00,Accepted-In Progress,Roger,Org line F,1-354090772,Variant 93,93,Fluxicon Disco
Accepted-Wait,complete,Roger-Org line F,2010-02-15 10:34:41+02:00,Accepted-Wait,Roger,Org line F,1-354090772,Variant 93,93,Fluxicon Disco
Accepted-In Progress,complete,Roger-Org line F,2010-03-02 14:59:28+02:00,Accepted-In Progress,Roger,Org line F,1-354090772,Variant 93,93,Fluxicon Disco
Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 15:01:04+02:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-354090772,Variant 93,93,Fluxicon Disco
Accepted-In Progress,complete,Henrik-Org line A2,2010-03-02 15:07:11+02:00,Accepted-In Progress,Henrik,Org line A2,1-354090772,Variant 93,93,Fluxicon Disco
Accepted-Assigned,complete,Ewa-Org line A2,2010-03-02 15:07:48+02:00,Accepted-Assigned,Ewa,Org line A2,1-354090772,Variant 93,93,Fluxicon Disco
Accepted-Wait,complete,Ewa-Org line A2,2010-03-02 15:11:18+02:00,Accepted-Wait,Ewa,Org line A2,1-354090772,Variant 93,93,Fluxicon Disco
Accepted-Assigned,complete,Katarzyna-Org line A2,2011-04-11 09:48:47+03:00,Accepted-Assigned,Katarzyna,Org line A2,1-354090772,Variant 93,93,Fluxicon Disco
Accepted-Assigned,complete,Damian-Org line A2,2011-04-11 10:08:44+03:00,Accepted-Assigned,Damian,Org line A2,1-354090772,Variant 93,93,Fluxicon Disco
Accepted-Wait,complete,Damian-Org line A2,2011-11-23 12:55:49+02:00,Accepted-Wait,Damian,Org line A2,1-354090772,Variant 93,93,Fluxicon Disco
Completed-Closed,complete,Damian-Org line A2,2012-01-19 09:56:20+02:00,Completed-Closed,Damian,Org line A2,1-354090772,Variant 93,93,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2010-02-16 12:03:41+02:00,Accepted-Wait,Tomas,Org line A2,1-354350908,Variant 74,74,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-02 01:16:31+03:00,Accepted-In Progress,Tomas,Org line A2,1-354350908,Variant 74,74,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-01-20 09:40:03+02:00,Accepted-In Progress,Carrie,Org line A2,1-354350908,Variant 74,74,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-01-20 09:40:20+02:00,Completed-Closed,Carrie,Org line A2,1-354350908,Variant 74,74,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2010-02-16 12:04:37+02:00,Accepted-Wait,Tomas,Org line A2,1-354376900,Variant 74,74,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-02 01:16:15+03:00,Accepted-In Progress,Tomas,Org line A2,1-354376900,Variant 74,74,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-02-01 11:16:03+02:00,Accepted-In Progress,Carrie,Org line A2,1-354376900,Variant 74,74,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-02-01 11:16:53+02:00,Completed-Closed,Carrie,Org line A2,1-354376900,Variant 74,74,Fluxicon Disco
Accepted-In Progress,complete,Henrik-Org line A2,2010-02-23 14:10:59+02:00,Accepted-In Progress,Henrik,Org line A2,1-356055231,Variant 94,94,Fluxicon Disco
Accepted-Wait,complete,Henrik-Org line A2,2010-02-23 14:13:19+02:00,Accepted-Wait,Henrik,Org line A2,1-356055231,Variant 94,94,Fluxicon Disco
Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 14:44:01+02:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-356055231,Variant 94,94,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-02 14:46:47+02:00,Accepted-In Progress,Katarzyna,Org line A2,1-356055231,Variant 94,94,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2010-03-02 14:46:58+02:00,Accepted-Wait,Katarzyna,Org line A2,1-356055231,Variant 94,94,Fluxicon Disco
Accepted-Assigned,complete,Damian-Org line A2,2011-11-28 09:20:33+02:00,Accepted-Assigned,Damian,Org line A2,1-356055231,Variant 94,94,Fluxicon Disco
Accepted-Wait,complete,Damian-Org line A2,2011-11-28 09:20:57+02:00,Accepted-Wait,Damian,Org line A2,1-356055231,Variant 94,94,Fluxicon Disco
Completed-Closed,complete,Damian-Org line A2,2012-01-19 09:59:01+02:00,Completed-Closed,Damian,Org line A2,1-356055231,Variant 94,94,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-02-26 14:39:44+02:00,Accepted-In Progress,Carolyn,Org line G3,1-356879617,Variant 95,95,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-02-26 14:45:58+02:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-356879617,Variant 95,95,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line A2,2010-02-26 19:04:51+02:00,Accepted-In Progress,Naga,Org line A2,1-356879617,Variant 95,95,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line A2,2010-02-26 19:08:30+02:00,Accepted-In Progress,Naga,Org line A2,1-356879617,Variant 95,95,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line A2,2010-02-26 19:09:05+02:00,Accepted-In Progress,Naga,Org line A2,1-356879617,Variant 95,95,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line A2,2010-02-26 19:09:42+02:00,Accepted-In Progress,Naga,Org line A2,1-356879617,Variant 95,95,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line G3,2010-02-26 19:11:57+02:00,Accepted-In Progress,Naga,Org line G3,1-356879617,Variant 95,95,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-02-26 19:12:06+02:00,Accepted-Assigned,Carolyn,Org line G3,1-356879617,Variant 95,95,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-19 11:01:46+02:00,Accepted-In Progress,Ewa,Org line G3,1-356879617,Variant 95,95,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-19 11:02:07+02:00,Completed-Closed,Ewa,Org line G3,1-356879617,Variant 95,95,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-03-01 07:54:12+02:00,Accepted-In Progress,Carolyn,Org line G3,1-357087417,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-03-01 08:04:33+02:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-357087417,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Naga-Org line G3,2010-03-01 12:53:51+02:00,Accepted-In Progress,Naga,Org line G3,1-357087417,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-03-01 13:00:54+02:00,Accepted-Assigned,Carolyn,Org line G3,1-357087417,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2011-12-28 17:01:17+02:00,Accepted-In Progress,Ewa,Org line G3,1-357087417,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 13:30:21+02:00,Completed-Closed,Ewa,Org line G3,1-357087417,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Reine-Org line G4,2010-03-02 12:41:18+02:00,Accepted-In Progress,Reine,Org line G4,1-357610411,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Reine-Org line G4,2010-09-19 10:21:17+03:00,Accepted-Wait,Reine,Org line G4,1-357610411,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Reine-Org line G4,2012-02-01 17:42:48+02:00,Completed-Closed,Reine,Org line G4,1-357610411,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line G4,2010-03-03 20:25:03+02:00,Accepted-In Progress,Daniel,Org line G4,1-358038911,Variant 96,96,Fluxicon Disco
Unmatched-Unmatched,complete,Daniel-Org line G4,2010-03-11 16:44:02+02:00,Unmatched-Unmatched,Daniel,Org line G4,1-358038911,Variant 96,96,Fluxicon Disco
Accepted-In Progress,complete,Daniel-Org line G4,2010-08-16 12:54:31+03:00,Accepted-In Progress,Daniel,Org line G4,1-358038911,Variant 96,96,Fluxicon Disco
Accepted-Wait,complete,Daniel-Org line G4,2010-08-16 13:13:10+03:00,Accepted-Wait,Daniel,Org line G4,1-358038911,Variant 96,96,Fluxicon Disco
Accepted-In Progress,complete,Helene-Org line G4,2012-01-17 08:59:31+02:00,Accepted-In Progress,Helene,Org line G4,1-358038911,Variant 96,96,Fluxicon Disco
Completed-Closed,complete,Helene-Org line G4,2012-01-17 08:59:59+02:00,Completed-Closed,Helene,Org line G4,1-358038911,Variant 96,96,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-08 10:17:56+02:00,Accepted-In Progress,Katarzyna,Org line A2,1-358776870,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2010-03-08 10:19:32+02:00,Accepted-Wait,Katarzyna,Org line A2,1-358776870,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Katarzyna-Org line A2,2012-03-30 11:59:03+03:00,Completed-Closed,Katarzyna,Org line A2,1-358776870,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Damian-Org line A2,2010-03-09 12:28:51+02:00,Accepted-In Progress,Damian,Org line A2,1-359215498,Variant 45,45,Fluxicon Disco
Accepted-Assigned,complete,Damian-Org line A2,2011-04-11 10:09:41+03:00,Accepted-Assigned,Damian,Org line A2,1-359215498,Variant 45,45,Fluxicon Disco
Accepted-Assigned,complete,Katarzyna-Org line A2,2011-04-11 10:11:23+03:00,Accepted-Assigned,Katarzyna,Org line A2,1-359215498,Variant 45,45,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2011-11-28 09:21:08+02:00,Accepted-Wait,Katarzyna,Org line A2,1-359215498,Variant 45,45,Fluxicon Disco
Completed-Closed,complete,Katarzyna-Org line A2,2012-03-30 12:01:23+03:00,Completed-Closed,Katarzyna,Org line A2,1-359215498,Variant 45,45,Fluxicon Disco
Accepted-In Progress,complete,Eva-Org line V2,2010-03-11 11:02:02+02:00,Accepted-In Progress,Eva,Org line V2,1-359781492,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Eva-Org line V2,2012-03-15 15:27:03+02:00,Completed-Closed,Eva,Org line V2,1-359781492,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2010-03-11 15:06:34+02:00,Accepted-In Progress,Tomas,Org line A2,1-359841262,Variant 97,97,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2010-03-11 15:10:10+02:00,Accepted-In Progress,Tomas,Org line A2,1-359841262,Variant 97,97,Fluxicon Disco
Queued-Awaiting Assignment,complete,Tomas-Org line A2,2010-03-11 15:12:19+02:00,Queued-Awaiting Assignment,Tomas,Org line A2,1-359841262,Variant 97,97,Fluxicon Disco
Accepted-In Progress,complete,Pawel-Org line A2,2010-03-11 15:12:35+02:00,Accepted-In Progress,Pawel,Org line A2,1-359841262,Variant 97,97,Fluxicon Disco
Queued-Awaiting Assignment,complete,Tomas-Org line A2,2010-03-11 15:12:46+02:00,Queued-Awaiting Assignment,Tomas,Org line A2,1-359841262,Variant 97,97,Fluxicon Disco
Accepted-In Progress,complete,Pawel-Org line A2,2010-03-11 15:13:02+02:00,Accepted-In Progress,Pawel,Org line A2,1-359841262,Variant 97,97,Fluxicon Disco
